Relógio Temporal,"Ai, a minha cabeça!... Onde nós estamos, Agente? Espere... As luzes do bairro inteiro se apagaram?! Olhe meus indicadores, está dando erro generalizado!"
Relógio Temporal,"Isto é um desastre cronológico! Você abriu a fenda manualmente, sem calibragem, o que é muita irresponsabilidade! Agora o tecido do tempo nesta região está completamente instável!"
Agente,"Foi uma medida extrema, pois o Calvil está aqui."
Relógio Temporal,"Eu sei! Estamos em Fortaleza, em 1983, e a assinatura térmica do General Calvil está mesmo à nossa frente, na direção da casa da Maria da Penha!"
Relógio Temporal,"Se o Calvil intervir pessoalmente antes do atentado canônico acontecer, meus servidores irão se derreter de tanta ansiedade! O que podemos fazer nesta escuridão?!"
Agente,"Relógio, ativar Modo Robótico."
Relógio Temporal,Protocolo de Emergência ativo. Interface de voz minimizada. Eliminando variáveis emocionais orgânicas.
Relógio Temporal,"Alvo principal detectado a 200 metros de distância, em rota de interseção com a residência de Maria da Penha."
Agente,Relatório visual.
Relógio Temporal,Setores sem iluminação pública devido à sobrecarga de energia cronológica. Ativando visão noturna integrada. Mapeando caminho.
Relógio Temporal,Aviso: Unidades de patrulha dos Rubros detectadas nos becos adjacentes.
Agente,Avançando.
