Relógio,"Salto de emergência concluído! Rio de Janeiro, 1880!"
Agente,Status da situação?
Relógio,Os Rubros invadiram o salão da lendária maestrina e compositora Chiquinha Gonzaga!
Relógio,"Ela está prestes a fazer história na música brasileira, mas Calvil quer silenciá-la, roubando suas partituras pelo fluxo temporal!"
Agente,Onde está o Rubro que fez isso?
Relógio,"Olha lá, deve ser aquela pessoa de vermelho."
Rubro,Olha só o que temos aqui... O agentezinho da guarda do tempo chegou tarde! Uma mulher liderando orquestras e compondo? Que absurdo! Essas músicas agora pertencem ao vento!
Agente,Devolva as partituras.
Rubro,Nunca! HAHAHAHAHA!
Relógio,"Você precisa agir rápido, ele está fugindo com a partitura principal, Agente! Não o perca de vista e use tudo o que aprendeu para capturá-lo!"
