Chiquinha Gonzaga,Minha partitura! Não consigo acreditar que meus arranjos estão a salvo!
Chiquinha Gonzaga,"Queriam me impedir de ditar o ritmo da orquestra, mas você devolveu a melodia ao meu espetáculo. Muito obrigada! "
Agente,A história precisa da sua música.
Chiquinha Gonzaga,"Ela vai ecoar, pois a arte e a liberdade têm um compasso que ninguém consegue parar. Obrigada, mais uma vez!"
Relógio,Bom trabalho! O concerto de hoje está salvo! Mas espere... estou detectando algo errado nos relatórios de dados!
Agente,Explique.
Relógio,"Fez um ótimo trabalho, mas a aventura no Rio de Janeiro está só começando! Mesmo salvando este show, algumas partituras foram roubadas e espalhadas. O legado de Maria Felipa ainda corre risco se não coletarmos todos os registros.!"
Agente,Rastrear assinaturas térmicas.
Relógio,"Impossível, pois detectei atividade de um soldado de alto escalão do General Calvil em outra fenda. Temos que nos mover imediatamente para 1887, antes que o fluxo temporal fique completamente instável!"
Agente,Preparar salto.
