Relógio Temporal,"Conseguimos! Com o composto da Ermelinda e os seus golpes, a contaminação dos Rubros foi completamente contida!"
Rubro Negacionista,[Grogue]Isso é... uma conspiração... As vacinas e os tónicos... são alucinações... Urgh...
Agente,Quieto! falou mentiras suficientes por hoje.
Relógio Temporal,Destino traçado com sucesso! Ele foi enviado diretamente para o complexo de segurança máxima da Patrulha.
Agente,"Ufa, um problema a menos na linha do tempo. [Efeito Sonoro: Clank! - Ermelinda aproxima-se"
Ermelinda Lopes de Barros,"Não sei de qual laboratório do futuro vocês vieram, mas a vossa ajuda foi cirúrgica! Graças a vocês, nosso estoque de quinino está intacto e os postos médicos podem continuar a operar."
Agente,"O mérito é seu, enfermeira. O seu trabalho vai salvar esta cidade."
Ermelinda Lopes de Barros,"A ciência e o cuidado humano não podem parar diante de mentiras, tampouco do vírus. Se me dão licença, a ala norte acabou de receber novos pacientes e eu preciso de voltar ao trabalho."
Relógio Temporal,"Ela é uma verdadeira heroína da saúde! O legado dela está seguro, mas não baixe a guarda, Agente! Nossos radares detectaram uma nova anomalia causada pelo Calvil!"
Agente,De novo? Temos que acabar logo com isso!
Relógio Temporal,Próxima paragem: meados da década de 1930! Prepare-se para o salto!
Agente,...
